route_id,stop_order,stop_id,stop_name,lat,lng
d493d9ef-7628-4116-bbec-adb2d208bbe5,0,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,Morewood Gardens Turn-around,40.445417,-79.942778
d493d9ef-7628-4116-bbec-adb2d208bbe5,1,aae90932-676a-4c7e-b783-af8003a1af1d,4615 Forbes Avenue,40.444501,-79.947786
d493d9ef-7628-4116-bbec-adb2d208bbe5,2,689c721e-7080-426e-80fb-4ab48d3a98a5,S. Dithridge St. at Winthrop St.,40.445707,-79.95043
d493d9ef-7628-4116-bbec-adb2d208bbe5,3,c4f7f203-a459-4c2d-afea-1964b213e90a,N. Dithridge St. at St. Paul's Rectory,40.447194,-79.950694
d493d9ef-7628-4116-bbec-adb2d208bbe5,4,0900afc3-0cc6-45e2-a877-cbe3fa10d1ea,N. Dithridge St. at Bayard St.,40.448866,-79.951694
d493d9ef-7628-4116-bbec-adb2d208bbe5,5,4c93e337-57ad-44de-aa9c-d82b306298d4,N. Dithridge St. at Centre Ave.,40.4514290495499,-79.9534203396948
d493d9ef-7628-4116-bbec-adb2d208bbe5,6,311fdadc-d1b5-4e22-9521-7c109729feee,Centre Ave. at Melwood Ave.,40.452248,-79.950847
d493d9ef-7628-4116-bbec-adb2d208bbe5,7,1a043dcc-bb72-401f-8832-e61cda03bbc6,Centre Ave. at N. Neville St.,40.452536,-79.949957
d493d9ef-7628-4116-bbec-adb2d208bbe5,8,dd3016be-ebf8-4a54-8851-babe2018ee10,Centre Ave. at Devonshire St.,40.453417,-79.946694
d493d9ef-7628-4116-bbec-adb2d208bbe5,9,7522808f-0db4-4475-a235-949382763cf9,Centre Ave. at Morewood Ave.,40.454156,-79.944462
d493d9ef-7628-4116-bbec-adb2d208bbe5,10,774b4ab9-f53c-4f89-a4e3-a54d2b441687,Centre Ave. at Cypress St.,40.45503,-79.941477
d493d9ef-7628-4116-bbec-adb2d208bbe5,11,c938f7c8-5312-4d53-a949-93de07d75878,Centre Ave. at S. Aiken Ave.,40.455902,-79.938577
d493d9ef-7628-4116-bbec-adb2d208bbe5,12,b4408b9c-cad1-4f84-b91e-dcc1a24f76fc,Centre Ave. at S. Graham St.,40.4564927285,-79.9365547963
d493d9ef-7628-4116-bbec-adb2d208bbe5,13,0617602e-abc9-4063-ab36-43afd002494f,Centre Ave. at S. Negley Ave.,40.457028,-79.934694
d493d9ef-7628-4116-bbec-adb2d208bbe5,14,2987ba0b-ae93-47b5-854d-37adf49426e3,S. Negley Ave. at PRT E. Busway,40.456083,-79.933333
d493d9ef-7628-4116-bbec-adb2d208bbe5,15,eb44021a-5557-4142-bdcd-cc946d1e0203,S. Negley Ave. at Ellsworth Ave.,40.454733,-79.932548
d493d9ef-7628-4116-bbec-adb2d208bbe5,16,fe91e07a-ad9b-4917-a0ea-fc1e7b5628b1,S. Negley Ave. at Elmer St.,40.453415,-79.931761
d493d9ef-7628-4116-bbec-adb2d208bbe5,17,68a9aef8-ca58-492e-af12-da53fbbe925f,S. Negley Ave. at Walnut St.,40.452063,-79.930957
d493d9ef-7628-4116-bbec-adb2d208bbe5,18,615f6abf-a1d4-4679-a8dc-140f707e84b5,S. Negley Ave. at Howe St.,40.451201,-79.930458
d493d9ef-7628-4116-bbec-adb2d208bbe5,19,da8b446b-4f2f-4789-913a-f8121c569fd1,S. Negley Ave. at Fifth Ave.,40.449827,-79.929649
d493d9ef-7628-4116-bbec-adb2d208bbe5,20,84e3df51-1618-4430-9723-e7a58b9532bf,Fifth Ave. at Bellefonte St.,40.448918,-79.932547
d493d9ef-7628-4116-bbec-adb2d208bbe5,21,b953e313-52af-41ea-97cc-4f6b3f37614b,Fifth Ave. at S. Aiken Ave.,40.448402,-79.934211
d493d9ef-7628-4116-bbec-adb2d208bbe5,22,cc2eb61a-f787-484e-af8f-328d7920ba0d,Fifth Ave. at Wilkins Ave.,40.447917,-79.936889
967e607e-34fd-4451-a33f-01d4b8157cd3,0,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,Morewood Gardens Turn-around,40.445417,-79.942778
967e607e-34fd-4451-a33f-01d4b8157cd3,1,aae90932-676a-4c7e-b783-af8003a1af1d,4615 Forbes Avenue,40.444501,-79.947786
967e607e-34fd-4451-a33f-01d4b8157cd3,2,689c721e-7080-426e-80fb-4ab48d3a98a5,S. Dithridge St. at Winthrop St.,40.445707,-79.95043
967e607e-34fd-4451-a33f-01d4b8157cd3,3,c4f7f203-a459-4c2d-afea-1964b213e90a,N. Dithridge St. at St. Paul's Rectory,40.447194,-79.950694
967e607e-34fd-4451-a33f-01d4b8157cd3,4,0900afc3-0cc6-45e2-a877-cbe3fa10d1ea,N. Dithridge St. at Bayard St.,40.448866,-79.951694
967e607e-34fd-4451-a33f-01d4b8157cd3,5,4c93e337-57ad-44de-aa9c-d82b306298d4,N. Dithridge St. at Centre Ave.,40.4514290495499,-79.9534203396948
967e607e-34fd-4451-a33f-01d4b8157cd3,6,311fdadc-d1b5-4e22-9521-7c109729feee,Centre Ave. at Melwood Ave.,40.452248,-79.950847
967e607e-34fd-4451-a33f-01d4b8157cd3,7,1a043dcc-bb72-401f-8832-e61cda03bbc6,Centre Ave. at N. Neville St.,40.452536,-79.949957
967e607e-34fd-4451-a33f-01d4b8157cd3,8,dd3016be-ebf8-4a54-8851-babe2018ee10,Centre Ave. at Devonshire St.,40.453417,-79.946694
967e607e-34fd-4451-a33f-01d4b8157cd3,9,7522808f-0db4-4475-a235-949382763cf9,Centre Ave. at Morewood Ave.,40.454156,-79.944462
967e607e-34fd-4451-a33f-01d4b8157cd3,10,774b4ab9-f53c-4f89-a4e3-a54d2b441687,Centre Ave. at Cypress St.,40.45503,-79.941477
967e607e-34fd-4451-a33f-01d4b8157cd3,11,c938f7c8-5312-4d53-a949-93de07d75878,Centre Ave. at S. Aiken Ave.,40.455902,-79.938577
967e607e-34fd-4451-a33f-01d4b8157cd3,12,a17b213e-9af7-4769-b8a9-6fc9165d9af3,Ellsworth Ave. at Bellefonte St.,40.453459,-79.935189
967e607e-34fd-4451-a33f-01d4b8157cd3,13,cb25a284-1841-4a23-aa00-4b0dc289d031,Ellsworth Ave. at Ivy St.,40.454232,-79.933564
967e607e-34fd-4451-a33f-01d4b8157cd3,14,eb44021a-5557-4142-bdcd-cc946d1e0203,S. Negley Ave. at Ellsworth Ave.,40.454733,-79.932548
967e607e-34fd-4451-a33f-01d4b8157cd3,15,2987ba0b-ae93-47b5-854d-37adf49426e3,S. Negley Ave. at PRT E. Busway,40.456083,-79.933333
967e607e-34fd-4451-a33f-01d4b8157cd3,16,5f3c1dc0-64e2-491c-af6f-4ccd49ef122c,S. Negley Ave. at Baum Blvd.,40.4579694489438,-79.9339279067459
967e607e-34fd-4451-a33f-01d4b8157cd3,17,a2dbee05-84fd-4951-9c67-115928124323,S. Negley Ave. at Friendship Ave,40.460556,-79.932417
967e607e-34fd-4451-a33f-01d4b8157cd3,18,ad70a020-71d8-47a3-bfc5-be7d0ae182ef,S. Negley Ave. at Penn Ave.,40.463278,-79.930722
967e607e-34fd-4451-a33f-01d4b8157cd3,19,e0863f21-315c-4ead-99de-e3f3a0c6f1cc,Penn Ave. at Whole Foods,40.462472,-79.928056
967e607e-34fd-4451-a33f-01d4b8157cd3,20,4977f8f4-05c2-4721-90f0-cde4ad5a55da,S. Beatty St. at Centre Ave.,40.459417,-79.927611
967e607e-34fd-4451-a33f-01d4b8157cd3,21,a01ee824-2209-4927-8252-532d8c50b9f1,Centre Ave. at Walgreens,40.459361,-79.926861
967e607e-34fd-4451-a33f-01d4b8157cd3,22,c3f86f14-5a3d-438d-91c7-d094c3b87ca6,Centre Ave. at Annie Place,40.460289,-79.923946
967e607e-34fd-4451-a33f-01d4b8157cd3,23,37f01e68-57ab-4386-b38a-811e9f6b9a29,Penn Ave. at Target,40.460083,-79.921528
967e607e-34fd-4451-a33f-01d4b8157cd3,24,17b59b43-c876-4d9c-b1ef-1e14cafee8eb,Shady Ave. at Ellsworth Ave.,40.459306,-79.921944
967e607e-34fd-4451-a33f-01d4b8157cd3,25,49c6247e-131e-4c0b-968e-665e5f320ba3,Shady Ave. at Alder St.,40.456861,-79.922528
967e607e-34fd-4451-a33f-01d4b8157cd3,26,076c69a1-d116-4350-991f-e18676b95b43,Shady Ave. at Walnut St.,40.4559685985748,-79.9226558313223
967e607e-34fd-4451-a33f-01d4b8157cd3,27,64aa846f-36fb-446d-99c4-cd33e19583de,Shady Ave. at Howe St.,40.454534,-79.92173
967e607e-34fd-4451-a33f-01d4b8157cd3,28,f32c4dc4-4df2-457f-9b7a-240aa8a48667,Fifth Ave. at Shady Ave.,40.452885,-79.920715
967e607e-34fd-4451-a33f-01d4b8157cd3,29,5f0d5837-0646-4ca2-be83-1bf5b010ba8a,Fifth Ave. at Emerson St.,40.452576,-79.922369
967e607e-34fd-4451-a33f-01d4b8157cd3,30,a1e0a969-63dd-407e-b114-68aa4eaffaeb,Fifth Ave. at S. Highland St,40.451935,-79.923988
967e607e-34fd-4451-a33f-01d4b8157cd3,31,5e91626f-13ea-4af1-a4de-f3e56109a7e0,Fifth Ave. at College Ave.,40.451209,-79.925795
967e607e-34fd-4451-a33f-01d4b8157cd3,32,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,Fifth Ave. at Maryland Ave.,40.45051,-79.927503
967e607e-34fd-4451-a33f-01d4b8157cd3,33,da8b446b-4f2f-4789-913a-f8121c569fd1,S. Negley Ave. at Fifth Ave.,40.449827,-79.929649
967e607e-34fd-4451-a33f-01d4b8157cd3,34,84e3df51-1618-4430-9723-e7a58b9532bf,Fifth Ave. at Bellefonte St.,40.448918,-79.932547
967e607e-34fd-4451-a33f-01d4b8157cd3,35,b953e313-52af-41ea-97cc-4f6b3f37614b,Fifth Ave. at S. Aiken Ave.,40.448402,-79.934211
967e607e-34fd-4451-a33f-01d4b8157cd3,36,cc2eb61a-f787-484e-af8f-328d7920ba0d,Fifth Ave. at Wilkins Ave.,40.447917,-79.936889
825c4caf-c531-4dbc-b11b-f90580abb70a,0,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,Morewood Gardens Turn-around,40.445417,-79.942778
825c4caf-c531-4dbc-b11b-f90580abb70a,1,5965691a-b592-4e49-8cb7-cf997fa8b164,Fifth Ave. at Wilkins Ave.,40.447813,-79.937147
825c4caf-c531-4dbc-b11b-f90580abb70a,2,b953e313-52af-41ea-97cc-4f6b3f37614b,Fifth Ave. at S. Aiken Ave.,40.448402,-79.934211
825c4caf-c531-4dbc-b11b-f90580abb70a,3,84e3df51-1618-4430-9723-e7a58b9532bf,Fifth Ave. at Bellefonte St.,40.448918,-79.932547
825c4caf-c531-4dbc-b11b-f90580abb70a,4,615f6abf-a1d4-4679-a8dc-140f707e84b5,S. Negley Ave. at Howe St.,40.451201,-79.930458
825c4caf-c531-4dbc-b11b-f90580abb70a,5,68a9aef8-ca58-492e-af12-da53fbbe925f,S. Negley Ave. at Walnut St.,40.452063,-79.930957
825c4caf-c531-4dbc-b11b-f90580abb70a,6,fe91e07a-ad9b-4917-a0ea-fc1e7b5628b1,S. Negley Ave. at Elmer St.,40.453415,-79.931761
825c4caf-c531-4dbc-b11b-f90580abb70a,7,eb44021a-5557-4142-bdcd-cc946d1e0203,S. Negley Ave. at Ellsworth Ave.,40.454733,-79.932548
825c4caf-c531-4dbc-b11b-f90580abb70a,8,2987ba0b-ae93-47b5-854d-37adf49426e3,S. Negley Ave. at PRT E. Busway,40.456083,-79.933333
825c4caf-c531-4dbc-b11b-f90580abb70a,9,5f3c1dc0-64e2-491c-af6f-4ccd49ef122c,S. Negley Ave. at Baum Blvd.,40.4579694489438,-79.9339279067459
825c4caf-c531-4dbc-b11b-f90580abb70a,10,a2dbee05-84fd-4951-9c67-115928124323,S. Negley Ave. at Friendship Ave,40.460556,-79.932417
825c4caf-c531-4dbc-b11b-f90580abb70a,11,ad70a020-71d8-47a3-bfc5-be7d0ae182ef,S. Negley Ave. at Penn Ave.,40.463278,-79.930722
825c4caf-c531-4dbc-b11b-f90580abb70a,12,e0863f21-315c-4ead-99de-e3f3a0c6f1cc,Penn Ave. at Whole Foods,40.462472,-79.928056
825c4caf-c531-4dbc-b11b-f90580abb70a,13,4977f8f4-05c2-4721-90f0-cde4ad5a55da,S. Beatty St. at Centre Ave.,40.459417,-79.927611
825c4caf-c531-4dbc-b11b-f90580abb70a,14,a01ee824-2209-4927-8252-532d8c50b9f1,Centre Ave. at Walgreens,40.459361,-79.926861
825c4caf-c531-4dbc-b11b-f90580abb70a,15,c3f86f14-5a3d-438d-91c7-d094c3b87ca6,Centre Ave. at Annie Place,40.460289,-79.923946
825c4caf-c531-4dbc-b11b-f90580abb70a,16,37f01e68-57ab-4386-b38a-811e9f6b9a29,Penn Ave. at Target,40.460083,-79.921528
825c4caf-c531-4dbc-b11b-f90580abb70a,17,17b59b43-c876-4d9c-b1ef-1e14cafee8eb,Shady Ave. at Ellsworth Ave.,40.459306,-79.921944
825c4caf-c531-4dbc-b11b-f90580abb70a,18,49c6247e-131e-4c0b-968e-665e5f320ba3,Shady Ave. at Alder St.,40.456861,-79.922528
825c4caf-c531-4dbc-b11b-f90580abb70a,19,076c69a1-d116-4350-991f-e18676b95b43,Shady Ave. at Walnut St.,40.4559685985748,-79.9226558313223
825c4caf-c531-4dbc-b11b-f90580abb70a,20,64aa846f-36fb-446d-99c4-cd33e19583de,Shady Ave. at Howe St.,40.454534,-79.92173
825c4caf-c531-4dbc-b11b-f90580abb70a,21,f32c4dc4-4df2-457f-9b7a-240aa8a48667,Fifth Ave. at Shady Ave.,40.452885,-79.920715
825c4caf-c531-4dbc-b11b-f90580abb70a,22,530092c6-9a75-4620-89c7-f0ffe9e8c7c4,Fifth Ave. at Emerson St.,40.452576,-79.922369
825c4caf-c531-4dbc-b11b-f90580abb70a,23,a1e0a969-63dd-407e-b114-68aa4eaffaeb,Fifth Ave. at S. Highland St,40.451935,-79.923988
825c4caf-c531-4dbc-b11b-f90580abb70a,24,5e91626f-13ea-4af1-a4de-f3e56109a7e0,Fifth Ave. at College Ave.,40.451209,-79.925795
825c4caf-c531-4dbc-b11b-f90580abb70a,25,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,Fifth Ave. at Maryland Ave.,40.45051,-79.927503
825c4caf-c531-4dbc-b11b-f90580abb70a,26,3836cf24-b1b8-46a5-a00c-aa245fd3332d,Fifth Ave. at S. Negley Ave.,40.449827,-79.929649
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,0,ea8d68f1-43fe-4539-9b7b-91a5e173abe3,300 South Craig,40.4455656392511,-79.9488756144305
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,1,cdffdfa9-0a56-4bd8-a3f6-a5d67d74c901,CIC at Bike Lane Sign,40.444563,-79.946008
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,2,4cfa4ecc-863c-4861-8ca5-5cc55c0d011a,Cohon University Center (Forbes Ave.),40.4443727506843,-79.941604938795
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,3,2f6adb99-2fe7-4afd-b4e4-d61981ececd7,Forbes Ave. at Murdoch St.,40.43784,-79.930712
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,4,c12d429c-2505-4899-b9fe-c9ce1842b7ce,Wightman St. at Bartlett St.,40.435795038,-79.9277014024
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,5,2b4ab56e-c7bc-4962-84f8-fab85b5f2482,Beacon St. at Wightman St.,40.434127,-79.927604
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,6,51226a6f-d93c-4d30-9f2e-616520ca4fef,Beacon St. at Murray Ave.,40.434762,-79.922823
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,7,5467d029-3b8f-4231-98c7-8090078a3642,Shady Ave. at Beacon St.,40.435329,-79.91899
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,8,8147e144-03bc-4812-90dc-9668c43d847a,Shady Ave. at Forbes Ave.,40.437917,-79.919278
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,9,f32c4dc4-4df2-457f-9b7a-240aa8a48667,Fifth Ave. at Shady Ave.,40.452885,-79.920715
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,10,f1d04a03-ab28-4ad3-bfe3-4af2b1ad0ca9,Fifth Ave. at Beechwood Blvd.,40.4535,-79.915583
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,11,4830c68a-c279-438b-8a6f-79443f5202fb,Google at Bakery Square,40.457426,-79.916439
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,12,8810fd5d-2658-4fb8-b54f-3746373393c0,Penn Ave. at The Village of Eastside,40.458222,-79.918389
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,13,49c6247e-131e-4c0b-968e-665e5f320ba3,Shady Ave. at Alder St.,40.456861,-79.922528
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,14,076c69a1-d116-4350-991f-e18676b95b43,Shady Ave. at Walnut St.,40.4559685985748,-79.9226558313223
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,15,64aa846f-36fb-446d-99c4-cd33e19583de,Shady Ave. at Howe St.,40.454534,-79.92173
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,17,5f0d5837-0646-4ca2-be83-1bf5b010ba8a,Fifth Ave. at Emerson St.,40.452576,-79.922369
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,18,a1e0a969-63dd-407e-b114-68aa4eaffaeb,Fifth Ave. at S. Highland St,40.451935,-79.923988
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,19,5e91626f-13ea-4af1-a4de-f3e56109a7e0,Fifth Ave. at College Ave.,40.451209,-79.925795
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,20,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,Fifth Ave. at Maryland Ave.,40.45051,-79.927503
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,21,da8b446b-4f2f-4789-913a-f8121c569fd1,S. Negley Ave. at Fifth Ave.,40.449827,-79.929649
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,22,b953e313-52af-41ea-97cc-4f6b3f37614b,Fifth Ave. at S. Aiken Ave.,40.448402,-79.934211
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,22,f5fa2c8f-86c0-4dc4-8f5a-e82cbe9282fb,Forbes Ave. at Murdoch St. PRT Stop,40.437917,-79.930583
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,23,cc2eb61a-f787-484e-af8f-328d7920ba0d,Fifth Ave. at Wilkins Ave.,40.447917,-79.936889
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,23,82712690-72cb-4cad-ae6b-f2697bd8105f,Forbes Ave. at Tepper Building Traffic Light,40.444667,-79.944806
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,24,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,Morewood Gardens Turn-around,40.445417,-79.942778
07c26a10-420f-4324-8f36-c91bc1630e9f,0,ea8d68f1-43fe-4539-9b7b-91a5e173abe3,300 South Craig,40.4455656392511,-79.9488756144305
07c26a10-420f-4324-8f36-c91bc1630e9f,1,cdffdfa9-0a56-4bd8-a3f6-a5d67d74c901,CIC at Bike Lane Sign,40.444563,-79.946008
07c26a10-420f-4324-8f36-c91bc1630e9f,2,cc2eb61a-f787-484e-af8f-328d7920ba0d,Fifth Ave. at Wilkins Ave.,40.447917,-79.936889
07c26a10-420f-4324-8f36-c91bc1630e9f,3,b953e313-52af-41ea-97cc-4f6b3f37614b,Fifth Ave. at S. Aiken Ave.,40.448402,-79.934211
07c26a10-420f-4324-8f36-c91bc1630e9f,4,84e3df51-1618-4430-9723-e7a58b9532bf,Fifth Ave. at Bellefonte St.,40.448918,-79.932547
07c26a10-420f-4324-8f36-c91bc1630e9f,5,da8b446b-4f2f-4789-913a-f8121c569fd1,S. Negley Ave. at Fifth Ave.,40.449827,-79.929649
07c26a10-420f-4324-8f36-c91bc1630e9f,6,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,Fifth Ave. at Maryland Ave.,40.45051,-79.927503
07c26a10-420f-4324-8f36-c91bc1630e9f,7,5e91626f-13ea-4af1-a4de-f3e56109a7e0,Fifth Ave. at College Ave.,40.451209,-79.925795
07c26a10-420f-4324-8f36-c91bc1630e9f,8,a1e0a969-63dd-407e-b114-68aa4eaffaeb,Fifth Ave. at S. Highland St,40.451935,-79.923988
07c26a10-420f-4324-8f36-c91bc1630e9f,9,5f0d5837-0646-4ca2-be83-1bf5b010ba8a,Fifth Ave. at Emerson St.,40.452576,-79.922369
07c26a10-420f-4324-8f36-c91bc1630e9f,10,e63b13e4-ab7f-4d83-bab7-1414c0f600c1,Shady Ave. at Fifth Ave.,40.452806,-79.920778
07c26a10-420f-4324-8f36-c91bc1630e9f,11,f1d04a03-ab28-4ad3-bfe3-4af2b1ad0ca9,Fifth Ave. at Beechwood Blvd.,40.4535,-79.915583
07c26a10-420f-4324-8f36-c91bc1630e9f,12,4830c68a-c279-438b-8a6f-79443f5202fb,Google at Bakery Square,40.457426,-79.916439
07c26a10-420f-4324-8f36-c91bc1630e9f,13,8810fd5d-2658-4fb8-b54f-3746373393c0,Penn Ave. at The Village of Eastside,40.458222,-79.918389
07c26a10-420f-4324-8f36-c91bc1630e9f,14,17b59b43-c876-4d9c-b1ef-1e14cafee8eb,Shady Ave. at Ellsworth Ave.,40.459306,-79.921944
07c26a10-420f-4324-8f36-c91bc1630e9f,15,f7266b0c-8075-4622-a26c-86f58382a258,Shady Ave. at Alder St.,40.4567947795,-79.9224587821
07c26a10-420f-4324-8f36-c91bc1630e9f,16,076c69a1-d116-4350-991f-e18676b95b43,Shady Ave. at Walnut St.,40.4559685985748,-79.9226558313223
07c26a10-420f-4324-8f36-c91bc1630e9f,17,64aa846f-36fb-446d-99c4-cd33e19583de,Shady Ave. at Howe St.,40.454534,-79.92173
07c26a10-420f-4324-8f36-c91bc1630e9f,18,f32c4dc4-4df2-457f-9b7a-240aa8a48667,Fifth Ave. at Shady Ave.,40.452885,-79.920715
07c26a10-420f-4324-8f36-c91bc1630e9f,26,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,Morewood Gardens Turn-around,40.445417,-79.942778
07c26a10-420f-4324-8f36-c91bc1630e9f,27,82712690-72cb-4cad-ae6b-f2697bd8105f,Forbes Ave. at Tepper Building Traffic Light,40.444667,-79.944806
a9e22e1e-a366-4fe4-973c-871eb78e2349,0,4cfa4ecc-863c-4861-8ca5-5cc55c0d011a,Cohon University Center (Forbes Ave.),40.4443727506843,-79.941604938795
a9e22e1e-a366-4fe4-973c-871eb78e2349,1,162184f7-d4d4-46eb-bab5-16ef256060cd,Donnor House Stop Sign,40.441611,-79.940222
a9e22e1e-a366-4fe4-973c-871eb78e2349,2,f76699d8-bd84-4596-a9f5-5a6f99a5d38f,Tech St. at Frew St. Stop Sign,40.440611,-79.942139
a9e22e1e-a366-4fe4-973c-871eb78e2349,3,293b115e-8312-4b6d-813d-3107e2bd5088,Hobart St. at Beacon St.,40.432056,-79.934889
a9e22e1e-a366-4fe4-973c-871eb78e2349,4,5b987b93-0691-41b9-9e87-36e406da9965,Hobart St. at Wendover St. Speed Limit Sign,40.432417,-79.928972
a9e22e1e-a366-4fe4-973c-871eb78e2349,5,93eecf71-8902-45bb-8574-cd88e9be46a5,Hobart St. at Wightman St. Traffic Light,40.432528,-79.927722
